"region";"Moment";"BergerParker";"Dim.1";"Dim.2";"Dim.3";"PP_AAutres";"PP_BacBac";"PP_BacDino";"PP_DinoDino";"P_AAutres";"P_BacBac";"P_BacDino";"P_DinoDino";"P_autres";"P_bac";"P_dino";"Pielou";"RBergerParker";"RPielou";"RShannon";"Shannon"
"1-Mediterranean sea";"After";0,568797508965323;-0,176935802869457;-0,975284936706934;-0,211662810807274;0,0877322190959249;0,435152351313129;0,296155358224538;0,180960071366408;0,118450541079143;0,327101659651944;0,386093796742037;0,168354002526877;0,0752358650114129;0,558106265485856;0,366657869502731;0,490568833705387;0,568889545444221;0,490793646270933;1,287101283766;1,28783225075937
"1-Mediterranean sea";"Before";0,576360211774488;-0,410318968205731;-0,987789170149146;0,107591679827236;0,0641153288718847;0,464101952451986;0,290192197590523;0,181590521085607;0,0920205701326276;0,359750909337445;0,380730491294231;0,167498029235697;0,0637613877587418;0,579946388098317;0,356292224142942;0,489079731693885;0,576764667123244;0,489616753484908;1,27228170474447;1,27520814230585
"1-Mediterranean sea";"During";0,633818997486776;0,618738126841686;-1,18524148138675;-0,481987259518346;0,0592890078767801;0,486105458047774;0,275649899038854;0,178955635036592;0,0865219510313211;0,369696551266638;0,380071647117509;0,163709850584532;0,054947229937615;0,585065260223005;0,35998750983938;0,397184411939505;0,635872326316135;0,397500005233261;1,10679396311834;1,11099195269213
"2-Eastern Channel - North Sea";"After";0,665852522686896;0,644541034330993;0,182863962152506;1,23176807086283;0,237359211666545;0,310127603336426;0,320509066991409;0,13200411800562;0,241223725863781;0,290939894250878;0,347297814122031;0,120538565763309;0,131288378024765;0,569412480711705;0,29929914126353;0,341211171727132;0,651730681296209;0,351026922625147;1,08815842213128;1,05820420068188
"2-Eastern Channel - North Sea";"Before";0,512030393228363;0,458728068678285;0,348990830368154;0,945153924413877;0,2004416708203;0,464515561966797;0,255939819117037;0,0791029480958661;0,207117989378163;0,435171023319942;0,284194251149373;0,0735167361525222;0,116165631551933;0,655424420103272;0,228409948344795;0,476265892787929;0,512015013298251;0,476948222673206;1,43735524922917;1,43723896503231
"2-Eastern Channel - North Sea";"During";0,603014808948397;1,50242503719525;0,337529272282401;1,01714780398274;0,204016948971711;0,337639254009101;0,322963434919157;0,135380362100032;0,213172470745852;0,310654131648002;0,353303168467048;0,122870229139098;0,125938555768677;0,562033512173671;0,312027932057652;0,383338188652332;0,607445233499483;0,381955368308525;1,21264933561864;1,22684388844954
"3-Atlantic - Western Channel";"After";0,562539201100952;1,90138422631535;0,774220480617566;0,186184027193845;0,149570304176254;0,353884627795409;0,277218040641387;0,21932702738695;0,184091295744142;0,330203835281777;0,321515357623309;0,164189511350771;0,0995155193706877;0,572256184411635;0,328228296217677;0,435533025778095;0,563590318708311;0,434825060279788;1,38832564222903;1,39479795367263
"3-Atlantic - Western Channel";"Before";0,586110685806613;1,19996776639254;0,81370689042194;-0,257835830109107;0,197370900326998;0,38422582196358;0,236551862898601;0,181851414810821;0,223571056938955;0,364477329404918;0,282293721626225;0,129657892029901;0,118870686381115;0,59536263415293;0,285766679465955;0,433304419965193;0,578552477480357;0,437963867920368;1,348455292027;1,33920819344402
"3-Atlantic - Western Channel";"During";0,639878978843758;2,09290143366322;1,10487551090399;0,0216664901225369;0,160055711376747;0,369790924612874;0,27199696686838;0,198156397141999;0,193890371559744;0,353382917897466;0,314279277380453;0,138447433162337;0,103298611510281;0,596700745870102;0,300000642619616;0,345410760415505;0,640030021079698;0,34622887655552;1,13023275080947;1,13295397966934
