"region";"link_genus";"Sign";"Number";"Freq"
"1-Mediterranean sea";"Other association";"+";464;0,215613382899628
"1-Mediterranean sea";"Other association";"-";149;0,0692379182156134
"1-Mediterranean sea";"Dinophyceae-Dinophyceae";"+";299;0,138940520446097
"1-Mediterranean sea";"Dinophyceae-Dinophyceae";"-";65;0,0302044609665428
"1-Mediterranean sea";"Bacillariophyceae-Dinophyceae";"+";435;0,202137546468401
"1-Mediterranean sea";"Bacillariophyceae-Dinophyceae";"-";221;0,102695167286245
"1-Mediterranean sea";"Bacillariophyceae-Bacillariophyceae";"+";437;0,203066914498141
"1-Mediterranean sea";"Bacillariophyceae-Bacillariophyceae";"-";82;0,0381040892193309
"2-Eastern Channel - North Sea";"Other association";"+";331;0,17457805907173
"2-Eastern Channel - North Sea";"Other association";"-";212;0,111814345991561
"2-Eastern Channel - North Sea";"Dinophyceae-Dinophyceae";"+";125;0,0659282700421941
"2-Eastern Channel - North Sea";"Dinophyceae-Dinophyceae";"-";29;0,015295358649789
"2-Eastern Channel - North Sea";"Bacillariophyceae-Dinophyceae";"+";354;0,186708860759494
"2-Eastern Channel - North Sea";"Bacillariophyceae-Dinophyceae";"-";236;0,124472573839662
"2-Eastern Channel - North Sea";"Bacillariophyceae-Bacillariophyceae";"+";399;0,210443037974684
"2-Eastern Channel - North Sea";"Bacillariophyceae-Bacillariophyceae";"-";210;0,110759493670886
"3-Atlantic - Western Channel";"Other association";"+";921;0,194221847321805
"3-Atlantic - Western Channel";"Other association";"-";622;0,131168283424715
"3-Atlantic - Western Channel";"Dinophyceae-Dinophyceae";"+";450;0,0948966680725432
"3-Atlantic - Western Channel";"Dinophyceae-Dinophyceae";"-";43;0,00906790383804302
"3-Atlantic - Western Channel";"Bacillariophyceae-Dinophyceae";"+";843;0,177773091522564
"3-Atlantic - Western Channel";"Bacillariophyceae-Dinophyceae";"-";583;0,122943905525095
"3-Atlantic - Western Channel";"Bacillariophyceae-Bacillariophyceae";"+";843;0,177773091522564
"3-Atlantic - Western Channel";"Bacillariophyceae-Bacillariophyceae";"-";437;0,0921552087726698
