"region";"link_genus";"Number";"Freq"
"1-Mediterranean sea";"Other association";38,7770129264184;0,232489680765735
"1-Mediterranean sea";"Dinophyceae-Dinophyceae";32,6254066979575;0,195607392515085
"1-Mediterranean sea";"Bacillariophyceae-Dinophyceae";39,1911656980097;0,234972756134079
"1-Mediterranean sea";"Bacillariophyceae-Bacillariophyceae";56,1966687598651;0,336930170585101
"2-Eastern Channel - North Sea";"Other association";49,9018731641854;0,275150718694668
"2-Eastern Channel - North Sea";"Dinophyceae-Dinophyceae";21,1128868796543;0,116412984729908
"2-Eastern Channel - North Sea";"Bacillariophyceae-Dinophyceae";50,3624636382768;0,277690338791758
"2-Eastern Channel - North Sea";"Bacillariophyceae-Bacillariophyceae";59,9847345963241;0,330745957783666
"3-Atlantic - Western Channel";"Other association";115,378583302317;0,316493741132731
"3-Atlantic - Western Channel";"Dinophyceae-Dinophyceae";63,8021942936157;0,175015107539966
"3-Atlantic - Western Channel";"Bacillariophyceae-Dinophyceae";89,7700935742538;0,246247370560152
"3-Atlantic - Western Channel";"Bacillariophyceae-Bacillariophyceae";95,6016248424571;0,26224378076715
