"v1_classe";"v2_classe";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Bacillariophyceae";399;0,330024813895782;"Bacillariophyceae-Bacillariophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dinophyceae";354;0,292803970223325;"Bacillariophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Dinophyceae";125;0,10339123242349;"Dinophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Euglenozoa";49;0,0405293631100083;"Bacillariophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Ciliophora";38;0,0314309346567411;"Bacillariophyceae-Ciliophora";"2-Eastern Channel - North Sea"
"Dinophyceae";"Euglenozoa";37;0,0306038047973532;"Dinophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Cryptophyceae";29;0,0239867659222498;"Bacillariophyceae-Cryptophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Dinophyceae";29;0,0239867659222498;"Ciliophora-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Chlorophyta";28;0,0231596360628619;"Bacillariophyceae-Chlorophyta";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dictyochophyceae";22;0,0181968569065343;"Bacillariophyceae-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Chlorophyta";"Dinophyceae";22;0,0181968569065343;"Chlorophyta-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Haptophyta";13;0,010752688172043;"Bacillariophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Dinophyceae";11;0,00909842845326716;"Cryptophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Raphidophyceae";8;0,00661703887510339;"Dinophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Haptophyta";7;0,00578990901571547;"Dinophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Chlorophyta";"Euglenozoa";6;0,00496277915632754;"Chlorophyta-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Raphidophyceae";5;0,00413564929693962;"Bacillariophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Dinophyceae";5;0,00413564929693962;"Dictyochophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Euglenozoa";3;0,00248138957816377;"Ciliophora-Euglenozoa";"2-Eastern Channel - North Sea"
"Chlorophyta";"Ciliophora";2;0,00165425971877585;"Chlorophyta-Ciliophora";"2-Eastern Channel - North Sea"
"Chlorophyta";"Cryptophyceae";2;0,00165425971877585;"Chlorophyta-Cryptophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Cryptophyceae";2;0,00165425971877585;"Ciliophora-Cryptophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Euglenozoa";2;0,00165425971877585;"Cryptophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Chlorophyta";"Chlorophyta";1;0,000827129859387924;"Chlorophyta-Chlorophyta";"2-Eastern Channel - North Sea"
"Chlorophyta";"Dictyochophyceae";1;0,000827129859387924;"Chlorophyta-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Chlorophyta";"Haptophyta";1;0,000827129859387924;"Chlorophyta-Haptophyta";"2-Eastern Channel - North Sea"
"Ciliophora";"Ciliophora";1;0,000827129859387924;"Ciliophora-Ciliophora";"2-Eastern Channel - North Sea"
"Ciliophora";"Dictyochophyceae";1;0,000827129859387924;"Ciliophora-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Haptophyta";1;0,000827129859387924;"Ciliophora-Haptophyta";"2-Eastern Channel - North Sea"
"Ciliophora";"Raphidophyceae";1;0,000827129859387924;"Ciliophora-Raphidophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Dictyochophyceae";1;0,000827129859387924;"Cryptophyceae-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Haptophyta";1;0,000827129859387924;"Cryptophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Euglenozoa";1;0,000827129859387924;"Dictyochophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Raphidophyceae";1;0,000827129859387924;"Dictyochophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
