"Code_point_Libelle";"cluster"
"22B - Toulon gde rade";1
"Anse de Carteau 2";1
"Antifer ponton pétrolier";2
"Arcachon - Bouée 7";3
"At so";2
"Auger";4
"Barcares";1
"Basse Michaud";3
"Bif";2
"Bois de la Chaise large";3
"Bouzigues (a)";1
"Boyard";4
"Bréhat";3
"Cabourg";2
"Calvi";1
"Concarneau large";3
"Diana centre";1
"Donville";3
"Filière w";3
"Grand Rhône";5
"Géfosse";3
"Kervel large";3
"La Palmyre";4
"Lanvéoc large";3
"Lazaret (a)";1
"Le Cornard";4
"Le Croisic (a)";3
"Le Passage (a)";3
"Loguivy";3
"Marseillan (a)";1
"Men Du";3
"Men er Roue";3
"Nord Saumonards";3
"Ouessant - Youc'h korz";3
"Ouest Loscolo";3
"Parc Leucate 2";1
"Pen al Lann";3
"Point 1 Boulogne";2
"Point 1 Dunkerque";2
"St Cast";3
"St Pol large";3
"Sud Bastia";1
"Sète mer";1
"Teychan bis";3
"Villefranche";1
"les Hébihens";3
